#########################################################################
## Coefficients from the Trujillo et al. 2002 function to derive
## A spatial sersic function
#########################################################################
0.5    -0.50000    1.00000     0.00000     0.00000     0.00000     0.000
1.0     0.00000    0.00000     0.00000     0.00000     0.00000     0.000
1.5     0.43675    0.61007    -0.07257    -0.20048     0.01647     0.100
2.0     0.47773    0.77491    -0.04963    -0.15556     0.08284     0.070
2.5     0.49231    0.84071    -0.03313    -0.12070     0.14390     0.070
3.0     0.49316    0.87689    -0.02282    -0.09611     0.19680     0.060
3.5     0.49280    0.89914    -0.01648    -0.07919     0.24168     0.050
4.0     0.50325    0.91365    -0.01248    -0.06747     0.27969     0.020
4.5     0.51140    0.92449    -0.00970    -0.05829     0.31280     0.020
5.0     0.52169    0.93279    -0.00773    -0.05106     0.34181     0.015
6.0     0.55823    0.94451    -0.00522    -0.04060     0.39002     0.005
7.0     0.58086    0.95289    -0.00369    -0.03311     0.42942     0.005
8.0     0.60463    0.95904    -0.00272    -0.02768     0.46208     0.004
9.0     0.61483    0.96385    -0.00206    -0.02353     0.48997     0.004
10.0    0.66995    0.96731    -0.00164    -0.02053     0.51325     0.005
